Lesson 1
ecclesiastic;[ɪˌkliːzɪ'æstɪk];духовное лицо;
obstinate;['ɔbstɪnɪt];<a class="ajax ajax-full" href="/obstinate/en-ru/#lingvo/">obstinate</a>: упрямый, своевольный;
domesticate;[də'mestɪkeɪt];<a class="ajax ajax-full" href="/domesticate/en-ru/#lingvo/">domesticate</a>: стать членом семьи;
delicate;['delɪkət];<a class="ajax ajax-full" href="/delicate/en-ru/#lingvo/">delicate</a>: изысканный, тонкий, утончённый;
duplicate;['djuːplɪkət];<a class="ajax ajax-full" href="/duplicate/en-ru/#lingvo/">duplicate</a>: копия, залоговая квитанция;
overrate;;переоценивать;
extrapolate;[ɪk'stræpəleɪt];экстраполировать;
expatiate;[ek'speɪʃɪeɪt];распространяться, рассуждать;
anecdote;['ænɪkdəut];анекдот, забавная история;
Lesson 12
altercation;[ˌɔːltə'keɪʃ(ə)n];перебранка, ссора;
allotted;[ə'lɔt];<a class="ajax ajax-full" href="/allot/en-ru/#lingvo/">allot</a>: предоставлять, выделять;
amorous;['æm(ə)rəs];влюбчивый, влюблённый;
acknowledging;;нажатие рукоятки бдительности;
angular;['æŋgjulə];угловой, угловатый, неловкий;
acoustics;[ə'kuːstɪks];акустика, акустические…;
aerial;['eərɪəl];<a class="ajax ajax-full" href="/aerial/en-ru/#lingvo/">aerial</a>: воздушный, авиационный;
anticipation;[ænˌtɪsɪ'peɪʃ(ə)n];ожидание, предчувствие;
anonymous;[ə'nɔnɪməs];анонимный, безымянный;
architect;['ɑːkɪtekt];архитектор, зодчий;
application;[ˌæplɪ'keɪʃ(ə)n];просьба, заявление;
analysis;[ə'næləsɪs];анализ, изучение, исследование;
agricultural;[ˌægrɪ'kʌlʧ(ə)r(ə)l];сельскохозяйственный, аграрный;
acquainted;[ə'kweɪntɪd];знакомый, знающий;
algorithm;['ælg(ə)rɪð(ə)m];алгоритм;
appetite;['æpɪtaɪt];<a class="ajax ajax-full" href="/appetite/en-ru/#lingvo/">appetite</a>: аппетит, инстинктивная…;
bountiful;['bauntɪf(ə)l];<a class="ajax ajax-full" href="/bounteous/en-ru/#lingvo/">bounteous</a>: добрый, щедрый, храбрый;
Lesson 13
technological;[ˌteknə'lɔʤɪk((ə)l)];технологический, промышленный;
mechanical;[mɪ'kænɪk(ə)l];законченная копия, мастеровой;
veil;[veɪl];вуаль, покрывало, чадра;
diurnal;[ˌdaɪ'ɜːn(ə)l];дневной, действующий днём;
congenial;[kən'ʤiːnɪəl];сходный, близкий по духу;
neutral;['njuːtr(ə)l];нейтральный;
medicinal;[mə'dɪs(ə)n(ə)l];<a class="ajax ajax-full" href="/medicinal/en-ru/#lingvo/">medicinal</a>: лекарственный, целебный;
professional;[prə'feʃ(ə)n(ə)l];профессиональный;
embroil;[ɪm'brɔɪl];запутывать, впутывать;
mutual;['mjuːʧuəl];<a class="ajax ajax-full" href="/mutual/en-ru/#lingvo/">mutual</a>: взаимный, обоюдный;
terrestrial;[tə'restrɪəl];земной, происходящий на земле;
turmoil;['tɜːmɔɪl];шум, суматоха, беспорядок;
binomial;[baɪ'nəumɪəl];бином, двучлен, бинарный;
immortal;[ɪ'mɔːt(ə)l];<a class="ajax ajax-full" href="/immortal/en-ru/#lingvo/">immortal</a>: вечный, бессмертный;
pirouette;[ˌpɪru'et];пируэт, разновидность…;
Lesson 14
provisions;;продовольственные товары;
premium;['priːmɪəm];награда, вознаграждение;
phenomenon;[fɪ'nɔmɪnən];событие, феномен, явление;
pamphlet;['pæmflɪt];брошюра, буклет, проспект;
picturesque;[ˌpɪkʧ(ə)'resk];живописный, колоритный, яркий;
picnicking;['pɪknɪk];<a class="ajax ajax-full" href="/picnic/en-ru/#lingvo/">picnic</a>: пикник, приятное…;
poignant;['pɔɪnjənt];едкий, острый, пикантный;
phonograph;['fəunəgrɑːf];фонограф, граммофон, патефон;
petunia;[pɪ'tjuːnɪə];<a class="ajax ajax-full" href="/petunia/en-ru/#lingvo/">petunia</a>: петуния;
prodigal;['prɔdɪg(ə)l];неэкономный, расточительный;
phlegm;[flem];мокрота, слизь, флегма;
plaintiff;['pleɪntɪf];истец;
perseverance;[ˌpɜːsɪ'vɪər(ə)n(t)s];<a class="ajax ajax-full" href="/perseverance/en-ru/#lingvo/">perseverance</a>: настойчивость, упорство;
desirous;[dɪ'zaɪərəs];желающий, жаждущий;
Lesson 15
molecules;['mɔlɪkjuːl];<a class="ajax ajax-full" href="/molecule/en-ru/#lingvo/">molecule</a>: молекула;
hazardous;['hæzədəs];опасный, рискованный;
amphibians;[æm'fɪbɪən];<a class="ajax ajax-full" href="/amphibian/en-ru/#lingvo/">amphibian</a>: земноводный, амфибийный;
volumes;['vɔljuːm];<a class="ajax ajax-full" href="/volume/en-ru/#lingvo/">volume</a>: объём, масса, вместительность;
callus;['kæləs];<a class="ajax ajax-full" href="/callus/en-ru/#lingvo/">callus</a>: костная мозоль, затвердение на…;
antiques;[æn'tiːk];<a class="ajax ajax-full" href="/antique/en-ru/#lingvo/">antique</a>: старинная вещь, антикварная…;
headquarters;[ˌhed'kwɔːtəz];штаб-квартира, головной офис;
bulbous;['bʌlbəs];луковичный, напоминающий…;
frivolous;['frɪv(ə)ləs];несерьёзный, легкомысленный;
canvas;['kænvəs];<a class="ajax ajax-full" href="/canvas/en-ru/#lingvo/">canvas</a>: холст, парусина, брезент;
dictionaries;['dɪkʃ(ə)n(ə)rɪ];<a class="ajax ajax-full" href="/dictionary/en-ru/#lingvo/">dictionary</a>: словарь;
harness;['hɑːnɪs];упряжь, сбруя, ремни…;
mattress;['mætrəs];матрац, тюфяк, фашинный тюфяк;
gorgeous;['gɔːʤəs];вычурный, эффектный, яркий;
shepherds;['ʃepəd];<a class="ajax ajax-full" href="/shepherd/en-ru/#lingvo/">shepherd</a>: пастух, чабан, овчарка;
quantities;['kwɔntətɪ];<a class="ajax ajax-full" href="/quantity/en-ru/#lingvo/">quantity</a>: количество, численность, число;
straightened;;выпрямленный, спрямлённый;
Lesson 16
stymie;['staɪmɪ];безвыходное положение, тупик;
sympathy;['sɪmpəθɪ];сочувствие, сострадание;
sympathetic;[ˌsɪmpə'θetɪk];сочувственный, полный…;
stupendous;[stjuː'pendəs];громадный, огромной важности;
straddle;['strædl];сидеть, стоять ходить;
strengthened;['streŋθ(ə)n];<a class="ajax ajax-full" href="/strengthen/en-ru/#lingvo/">strengthen</a>: усиливаться, укрепляться;
steered;[stɪə];<a class="ajax ajax-full" href="/steer/en-ru/#lingvo/">steer</a>: править рулём, управлять;
starvation;[stɑː'veɪʃ(ə)n];голод, голодание;
stupefying;['stjuːpɪfaɪ];<a class="ajax ajax-full" href="/stupefy/en-ru/#lingvo/">stupefy</a>: приводить в оцепенение;
syntheses;['sɪnθəsiːz];<a class="ajax ajax-full" href="/synthesis/en-ru/#lingvo/">synthesis</a>: синтез, обобщение;
sympathetically;[ˌsɪmpə'θetɪk(ə)lɪ];сочувственно, с сочувствием;
stratus;['streɪtəs];слоистое облако;
symptoms;[sɛ̃ptom];<a class="ajax ajax-full" href="/symptom/en-ru/#lingvo/">symptom</a>: симптом, признак;
starry;['stɑːrɪ];звёздный, звёздообразный;
stenciled;['sten(t)s(ə)l];<a class="ajax ajax-full" href="/stencil/en-ru/#lingvo/">stencil</a>: трафарет, шаблон, образец;
stipulate;['stɪpjəleɪt];<a class="ajax ajax-full" href="/stipulate/en-ru/#lingvo/">stipulate</a>: ставить условием;
staggered;;расположенный уступами;
stagy;['steɪʤɪ];театральный, аффектированный;
stampede;[stæm'piːd];паническое бегство напуганных…;
symbolize;['sɪmb(ə)laɪz];символизировать;
circumvent;[ˌsɜːkəm'vent];окружить, заманить в ловушку;
Lesson 17
flout;[flaut];презирать, попирать;
deceit;[dɪ'siːt];обман, хитрость, лживость;
subvert;[sʌb'vɜːt];<a class="ajax ajax-full" href="/subvert/en-ru/#lingvo/">subvert</a>: свергать, ниспровергать;
welterweight;['weltəweɪt];второй полусредний вес;
augment;['ɔːgmənt];аугмент, приращение, прирост;
haunt;[hɔːnt];часто заезжать, навещать;
cachet;['kæʃeɪ];печать, признак, показатель;
forfeit;['fɔːfɪt];поплатиться чем-л., проиграть;
vigilant;['vɪʤɪlənt];<a class="ajax ajax-full" href="/vigilant/en-ru/#lingvo/">vigilant</a>: бдительный, бодрствующий;
banquet;['bæŋkwɪt];банкет, званый обед;
eminent;['emɪnənt];<a class="ajax ajax-full" href="/eminent/en-ru/#lingvo/">eminent</a>: высокий, вздымающийся;
dialect;['daɪəlekt];диалект, наречие, говор;
humorist;['hjuːm(ə)rɪst];весельчак, шутник, балагур;
quest;[kwest];поиск, предмет поисков;
indignant;[ɪn'dɪgnənt];<a class="ajax ajax-full" href="/indignant/en-ru/#lingvo/">indignant</a>: негодующий, возмущённый;
ardent;['ɑːd(ə)nt];горячий, пылкий, страстный;
bombast;['bɔmbæst];напыщенность, помпезность;
unpleasant;[ʌn'plez(ə)nt];неприятный, отталкивающий;
usher;['ʌʃə];швейцар, консьерж, привратник;
Lesson 18
overwrought;[ˌəuvə'rɔːt];переутомлённый работой;
possessor;[pə'zesə];владелец, держатель;
behavior;[bɪ'heɪvjər];<a class="ajax ajax-full" href="/behaviour/en-ru/#lingvo/">behaviour</a>: образ действий, поступки;
oblivion;[ə'blɪvɪən];забвение, утрата воспоминаний;
manipulator;[mə'nɪpjəleɪtəˌ mə'nɪpjuleɪtə];машинист, моторист, оператор;
schooner;['skuːnə];шхуна, судно, бокал для пива;
scholar;['skɔlə];учёный, филолог, тот;
obsess;[əb'ses];<a class="ajax ajax-full" href="/obsess/en-ru/#lingvo/">obsess</a>: завладевать, преследовать;
peculiar;[pɪ'kjuːlɪə];специфический, особенный;
meteor;['miːtɪə];метеор, атмосферное явление;
veer;[vɪə];перемена направления;
voucher;['vauʧə];гарант, поручитель, свидетель;
ostracize;['ɔstrəsaɪz];подвергать остракизму;
semester;[sɪ'mestə];семестр;
ovation;[ə'veɪʃ(ə)n];овация, бурные аплодисменты;
facilitator;;носитель функций;
memoir;['memwɑː];краткаябиография, воспоминания;
debonair;[ˌdebə'neə];обходительный, вежливый;
oppressive;[ə'presɪv];<a class="ajax ajax-full" href="/oppressive/en-ru/#lingvo/">oppressive</a>: тиранический, деспотический;
beggar;['begə];попрошайка, нищий, неимущий;
lunar;['luːnə];лунный, бледный, лунного цвета;
ogle;['əugl];смотреть с вожделением;
oblige;[ə'blaɪʤ];<a class="ajax ajax-full" href="/oblige/en-ru/#lingvo/">oblige</a>: обязывать, связывать;
Lesson 19
obtuse;[əb'tjuːs];<a class="ajax ajax-full" href="/obtuse/en-ru/#lingvo/">obtuse</a>: тупой, тупоугольный;
opposition;[ˌɔpə'zɪʃ(ə)n];противодействие, сопротивление;
oregano;[ˌɔrɪ'gɑːnəu];<a class="ajax ajax-full" href="/oregano/en-ru/#lingvo/">oregano</a>: душица обыкновенная;
obese;[əu'biːs];<a class="ajax ajax-full" href="/obese/en-ru/#lingvo/">obese</a>: тучный, толстый;
occupying;['ɔkjəpaɪ];<a class="ajax ajax-full" href="/occupy/en-ru/#lingvo/">occupy</a>: занимать, арендовать;
obsolete;['ɔbs(ə)liːt];<a class="ajax ajax-full" href="/obsolete/en-ru/#lingvo/">obsolete</a>: устарелый, вышедший из…;
obligations;;<a class="ajax ajax-full" href="/obligation/en-ru/#lingvo/">obligation</a>: гарантия, обязательство;
oblique;[ə'bliːk];<a class="ajax ajax-full" href="/oblique/en-ru/#lingvo/">oblique</a>: косой, наклонный, покатый;
orthopedics;[ˌɔːθə'piːdɪks];<a class="ajax ajax-full" href="/orthopaedics/en-ru/#lingvo/">orthopaedics</a>: ортопедия;
outrageous;[ˌaut'reɪʤəs];возмутительный, оскорбительный;
optometry;;оптометрия;
oppose;[ə'pəuz];<a class="ajax ajax-full" href="/oppose/en-ru/#lingvo/">oppose</a>: быть против, возражать;
officious;[ə'fɪʃəs];назойливый, навязчивый;
originally;[ə'rɪʤ(ə)n(ə)lɪ];по происхождению;
outlandish;[ˌaut'lændɪʃ];странный, нелепый, уединённый;
obligation;[ˌɔblɪ'geɪʃ(ə)n];гарантия, обязательство;
grotesque;[grəu'tesk];гротеск, шарж, гротескный;
Lesson 20
folklore;['fəuklɔː];фольклор;
mesmerize;['mezm(ə)raɪz];гипнотизировать, очаровывать;
impatience;[ɪm'peɪʃ(ə)n(t)s];нетерпение, нетерпеливое…;
handsome;['hæn(d)səm];красивый, статный, солидный;
catastrophe;[kə'tæstrəfɪ];катастрофа, трагедия;
landslide;['lændslaɪd];<a class="ajax ajax-full" href="/landslide/en-ru/#lingvo/">landslide</a>: обвал, оползень;
forcible;['fɔːsəbl];насильственный, принудительный;
genuine;['ʤenjuɪn];<a class="ajax ajax-full" href="/genuine/en-ru/#lingvo/">genuine</a>: истинный, подлинный;
negligence;['neglɪʤən(t)s];<a class="ajax ajax-full" href="/negligence/en-ru/#lingvo/">negligence</a>: небрежность, невнимательность;
virtue;['vɜːʧuː];добродетель, достоинство;
critique;[krɪ'tiːk];<a class="ajax ajax-full" href="/critique/en-ru/#lingvo/">critique</a>: критический отзыв;
divine;[dɪ'vaɪn];<a class="ajax ajax-full" href="/divine/en-ru/#lingvo/">divine</a>: божественный, посвящённый;
irksome;['ɜːksəm];утомительный, скучный;
indelible;[ɪn'deləbl];несмываемый, нестираемый;
memorandum;[ˌmem(ə)'rændəm];<a class="ajax ajax-full" href="/memorandum/en-ru/#lingvo/">memorandum</a>: заметка, записка;
Lesson 21
museum;[mjuː'ziːəm];<a class="ajax ajax-full" href="/museum/en-ru/#lingvo/">museum</a>: музей;
verbatim;[vɜː'beɪtɪm];дословная передача;
euphemism;['juːfəmɪz(ə)m];эвфемизм;
affirm;[ə'fɜːm];подтверждать, утверждать;
schism;['skɪzəm];схизма, ересь, раскол, секта;
mayhem;['meɪhem];нанесение увечья, хаос;
psalm;[sɑːm];псалом;
cranium;['kreɪnɪəm];череп;
axiom;['æksɪəm];аксиома, постулат;
qualm;[kwɑːm];беспокойство, тревожное…;
teem;[tiːm];изобиловать, кишеть;
millennium;[mɪ'lenɪəm];тысячелетие, тысячелетнее…;
