Lesson 1
skyscraper;['skaɪˌskreɪpə];небоскрёб, многоэтажный дом;
cared;[keə];care: забота, попечение, уход;
declare;[dɪ'kleə]; заявлять, объявлять;
everywhere;['evrɪweə];везде, всюду, повсюду;
repair;[rɪ'peə];ремонт, починка;
staircase;['steəkeɪs];лестница, ряд ступеней;
farewell;['feə'wel];прощание, прощальный;
barely;['beəlɪ];просто, только, всего лишь;
dairy;['deərɪ]; молочное хозяйство, молочный;
unfair;[ʌn'feə];несправедливый, пристрастный;
stared;[steə];stare: пристально глядеть;
dared;[deə];dare: отваживаться, осмеливаться;
glare;[gleə];ослепительно сверкать;
air;[eə];воздух; атмосфера;
rarely;['reəlɪ];редко, нечасто, исключительно;
surface;['sɜːfɪs];поверхность;
Lesson 9
burning;['bɜːnɪŋ];жгучий, нестерпимый;
curve;[kɜːv];кривая, дуга, график функции;
rehearse;[rɪ'hɜːs];репетировать, декламировать;
turtle;['tɜːtl];черепаха, суп из черепахи;
urgent;['ɜːʤ(ə)nt];urgent: срочный, неотложный;
research;[rɪ'sɜːʧ];исследование, изучение;
hurried;['hʌrɪd];быстрый, поспешный, скорый;
furniture;['fɜːnɪʧə];мебель, обстановка;
current;['kʌr(ə)nt];струя, поток, течение, ход;
earned;[ɜːn];earn: зарабатывать, получать доход;
overheard;[ˌəuvə'hɜːd];overhear: подслушивать;
further;['fɜːðə];дальнейший, добавочный, затем;
purpose;['pɜːpəs];цель, намерение, замысел;
purse;[pɜːs];дамская сумочка, кошелёк;
pearl;[pɜːl];жемчуг, перламутр, жемчужина;
curly;['kɜːlɪ];кудрявый, курчавый, вьющийся;
learned;['lɜːnɪd];учёный, эрудированный, знающий;
astounding;[ə'staundɪŋ];изумительный, поразительный;
Lesson 10
rebound;['riːbaund];отдача, откат, отскок, рикошет;
surrounded;[sə'raund];surround: окружать, обступать;
county;['kauntɪ];графство, округ, суд графства;
frown;[fraun];смотреть неодобрительно;
bounced;[baun(t)s];bounce: прыжок, отскок;
scout;[skaut];разведчик;
counter;['kauntə];фишка, шашка, конторка;
background;['bækgraund];задний план, фон;
bound;[baund];граница, предел, рубеж;
amount;[ə'maunt];величина, количество, итог;
mountain;['mauntɪn];гора, куча, груда, масса;
downtown;['dauntaun];деловой район;
thousand;['θauz(ə)nd];тысяча, тысяча лет;
allowance;[ə'lauən(t)s];денежное пособие;
counselor;['kaun(t)s(ə)lə];советник, консультант, адвокат;
discount;['dɪskaunt];скидка, уменьшение цены;
ground;[graund];земля, грунт, прош. вр. от grind;
council;['kaun(t)s(ə)l];совет, совещание, встреча;
countless;['kauntləs];бессчётный, бесчисленный;
Lesson 11
boiled;[bɔɪld];варёный, кипячёный, пьяный;
spoiled;[spɔɪld];избалованный, испорченный;
joining;[dʒɔɪnɪŋ];объединяющийся;
loyal;['lɔɪəl];верный, преданный, лояльный;
disappointed;[ˌdɪsə'pɔɪntɪd];разочарованный;
employer;[ɪm'plɔɪə];наниматель, работодатель;
poison;['pɔɪz(ə)n];яд, отрава, негативное влияние;
choices;[ʧɔɪs];choice: выбор, отбор, подбор, селекция;
noisy;['nɔɪzɪ];шумный, неспокойный, шумливый;
destroyed;[];аннулированный, разрушенный;
appointed;[ə'pɔɪntɪd];назначенный заранее;
poisonous;['pɔɪz(ə)nəs];ядовитый, отвратительный;
voyage;['vɔɪɪʤ];плавание, морское путешествие;
employee;[ˌɪmplɔɪ'iː];служащий, работающий по найму;
enjoying;[ɪn'ʤɔɪ];enjoy: любить, получать удовольствие;
avoided;[ə'vɔɪd];avoid: избегать, остерегаться;
pointing;['pɔɪntɪŋ];указание, намёк, наводка;
voices;[vɔɪsɪz];голоса;
annoyed;[ə'nɔɪd];недовольный, раздосадованный;
adventures;[əd'venʧə];приключение;
Lesson 12
privileges;['prɪv(ə)lɪʤ];privilege: привилегия;
halves;[hɑːvz];half: половина, одна вторая;
teeth;[tiːθ];tooth: зуб, зубец, вкус, пристрастие;
shelves;[ʃelvz];shelf: полка, стеллаж, уступ, выступ;
thieves;['θiːvz];thief: вор, похититель, негодяй;
knives;[naɪvz];knife: нож, скальпель, резец, скребок;
crises;['kraɪsiːz];crisis: кризис, поворотный пункт;
oxen;['ɔks(ə)n];ox: бык, выхолощенный бык, вол;
scissors;['sɪzəz];ножницы;
series;['sɪəriːz];ряд, последовательность, серия;
women;['wɪmɪn];woman: женщина, баба, женщины;
geese;[giːs];goose: гусь, гусыня, гусятина, дурак;
feet;[fiːt];foot: ступня, лапа, носок, опора;
calves;[kɑːvz];calf: телёнок, детёныш, дурень;
mice;[maɪs];mouse: мышь, подбитый глаз;
elves;[elvz];elf: эльф, шалун, проказник;
teachers';['tiːʧə];teacher: учитель, учительница;
Lesson 13
wolf's;[wulf];wolf: волк, шкура, мех волка, обжора;
bird's;[bɜːd];bird: птица, парень, человек, девка;
players';['pleɪə];player: игрок, участник, плеер;
team's;[tiːm];team: команда, группа, артель;
horse's;[hɔːs];horse: конь, лошадь, скаковая лошадь;
girls';[gɜːl];girl: девочка, дочка, девушка;
country's;['kʌntrɪ];country: страна, местность, территория;
classes';[klɑːs];class: класс, имущие классы;
city's;['sɪtɪ];city: город, большой город;
children's;[ʧaɪld];child: ребёнок, дитя, чадо, сын дочь;
friend's;[frend];friend: друг, подруга, союзник;
aunts';[ɑːnt];aunt: тётя, тётка;
class's;[klɑːs];class: класс, имущие классы;
cousins';['kʌz(ə)n];cousin: двоюродный брат, кузен;
owners';['əunə];owner: владелец, собственник, хозяин;
parents';[paʀɑ̃, -t];parent: один из родителей, мать отец;
trees';[triː];tree: дерево, древо, что-л.;
students';['st(j)uːd(ə)nts];ученический;
group's;[gruːp];группа, группировка, фракция;
January;['ʤænju(ə)rɪ];январь;
Lesson 14
president;['prezɪd(ə)nt];президент;
mount;[maunt];подниматься, восходить;
doctor;['dɔktə];врач, доктор, медик, теолог;
route;[ruːt];дорога, путь, шоссе;
Friday;['fraɪdeɪ];пятница;
December;[dɪ'sembə];декабрь;
teaspoon;['tiːspuːn];чайная ложка;
Saturday;['sætədeɪ];суббота;
Wednesday;['wenzdeɪ];среда;
governor;['gʌv(ə)nə];правитель, тот, кто управляет;
highway;['haɪweɪ];большая дорога, большак, шоссе;
September;[sep'tembə];сентябрь;
Parkway;['pɑːkweɪ];оживлённая дорога;
Sunday;['sʌndeɪ];воскресенье, воскресные газеты;
Monday;['mʌndeɪˌ 'mʌndɪ];понедельник;
avenue;['ævən(j)uː];дорога, аллея к дому;
road;[rəud];дорога, путь, шоссе, улица;
pound;[paund];фунт, загон, приют;
neighbor;['neɪbə];сосед, соседка, ближний;
Lesson 15
weighs;[weɪ];weigh: взвешиваться, взвешивать;
eighth;[eɪtθ];восьмой, равный восьмой части;
achieve;[ə'ʧiːv];добиваться, достигать;
thief;[θiːf];вор, похититель, негодяй;
pierce;[pɪəs];прокалывать, протыкать;
windshield;['wɪn(d)ʃiːld];windscreen: переднее стекло;
relief;[rɪ'liːf];облегчение, утешение, помощь;
fierce;[fɪəs];жестокий, лютый, свирепый;
either;['aɪðə];любой, один из двух;
chief;[ʧiːf];правитель, руководитель, глава;
ceiling;['siːlɪŋ];потолок, полог, навес;
reindeer;['reɪndɪə];северный олень;
freight;[freɪt];фрахт, перевозка грузов;
eighteen;[ˌeɪ'tiːn];восемнадцать;
receive;[rɪ'siːv];получить, получать;
weird;[wɪəd];странный, чудной;
seize;[siːz];схватить, хватать, завладевать;
industry;['ɪndəstrɪ];индустрия, промышленность;
Lesson 16
tiny;['taɪnɪ];очень маленький, крошечный;
hockey;['hɔkɪ];хоккей;
money;['mʌnɪ];деньги, платёжное средство;
heavy;['hevɪ];тяжёлый, тяжеловесный, крупный;
honey;['hʌnɪ];мёд, сладость, голубчик;
activity;[æk'tɪvətɪ];активность;
steady;['stedɪ];устойчивый, прочный, твёрдый;
ability;[ə'bɪlətɪ];способность, возможность;
company;['kʌmpənɪ];общество, компания, собрание;
already;[ɔːl'redɪ];уже;
valley;['vælɪ];долина, впадина, лощина;
monkey;['mʌŋkɪ];обезьяна, заяц, овца, шут;
country;['kʌntrɪ];страна, местность, территория;
unused;[ʌn'juːzd];непривыкший, неиспользованный;
Lesson 17
dislike;[dɪ'slaɪk];нелюбовь, неприязнь;
unclean;[ʌn'kliːn];грязный, неопрятный, нечистый;
unheard;[ʌn'hɜːd];неслышный, невыслушанный;
disagree;[ˌdɪsə'griː];не совпадать, расходиться;
disadvantage;[ˌdɪsəd'vɑːntɪʤ];неудобство;
dishonest;[dɪs'ɔnɪst];нечестный, мошеннический;
unkind;[ʌn'kaɪnd];злой, недобрый, жестокий;
disabled;[dɪs'eɪbld];страдающий от увечья, болезни;
unlike;[ʌn'laɪk];разный, отличный, непохожий;
unknown;[ʌn'nəun];неизвестный;
distrust;[dɪs'trʌst];недоверие, сомнение;
unfriendly;[ʌn'frendlɪ];враждебный, неприязненный;
undecided;[ˌʌndɪ'saɪdɪd];нерешённый, неразрешённый;
uncertain;[ʌn'sɜːt(ə)n];неопределённый, неясный;
disobey;[ˌdɪsə'beɪ];не повиноваться;
unable;[ʌn'eɪbl];неспособный, беспомощный;
invisible;[ɪn'vɪzəbl];невидимый, незримый;
Lesson 18
incorrect;[ˌɪnk(ə)'rekt];неверный, неправильный;
nonstop;[ˌnɔn'stɔp];безостановочный;
nonfiction;[ˌnɔn'fɪkʃ(ə)n];документальная;
inactive;[ɪn'æktɪv];инертный, пассивный;
nonsense;['nɔns(ə)n(t)s];абсурд, бессмыслица, вздор;
indirect;[ˌɪndɪ'rekt];непрямой, уклончивый;
independent;[ˌɪndɪ'pendənt];политически независимый;
return;[rɪ'tɜːn];возвращаться, идти обратно;
nonprofit;[ˌnɔn'prɔfɪt];некоммерческий;
redo;[ˌriː'duː];делать вновь, переделывать;
relocate;[ˌriːləu'keɪt];перемещать, передвигать;
retell;[ˌriː'tel];снова рассказывать;
incomplete;[ˌɪnkəm'pliːt];недостаточный, неполный;
nonfat;[ˌnɔn'fæt];не содержащий жира, нежирный;
rethink;[ˌriː'θɪŋk];пересматривать;
replaced;[rɪ'pleɪs];replace: заменять, замещать, вытеснять;
carried;['kærɪ];carry: нести, носить, относить;
Lesson 19
activities;[ækˈtɪvɪtɪz];деятельность, активность;
countries;['kʌntrɪ];country: страна, местность, территория;
enemies;['enəmɪ];enemy: враг, антагонист, недруг;
scurried;['skʌrɪ];scurry: бежать стремглав, нестись;
libraries;['laɪbr(ə)rɪ];library: библиотека, кабинет;
prettier;['prɪtɪ];pretty: милый, прелестный, миловидный;
worried;['wʌrɪd];озабоченный;
readily;['redɪlɪ];охотно, быстро, с готовностью;
relied;[rɪ'laɪ];rely: полагаться, надеяться;
luckily;['lʌkɪlɪ];к счастью;
heavier;['hevɪ];heavy: тяжёлый, тяжеловесный, крупный;
families;['fæm(ə)lɪ];family: семья, семейство, род, дети;
ugliest;['ʌglɪ];ugly: безобразный, уродливый;
funnier;['fʌnɪ];funny: забавный, смешной;
easily;['iːzɪlɪ];легко, свободно, без труда;
earlier;['ɜːlɪ];early: ранний, начальный;
tiniest;['taɪnɪ];tiny: очень маленький, крошечный;
supplied;[sə'plaɪ];supply: снабжение, поставка;
celebration;[ˌselə'breɪʃ(ə)n];празднование, празднество;
Lesson 20
lovable;['lʌvəbl];милый, симпатичный;
addition;[ə'dɪʃ(ə)n];добавление, дополнение;
forgiveness;[fə'gɪvnəs];прощение;
reusable;[ˌriː'juːzəbl];повторно используемый;
careless;['keələs];небрежный, невнимательный;
believable;[bɪ'liːvəbl];вероятный, возможный;
available;[ə'veɪləbl];доступный, имеющийся в наличии;
capable;['keɪpəbl];способный на, способный;
information;[ˌɪnfə'meɪʃ(ə)n];информация, сообщения;
function;['fʌŋkʃ(ə)n];назначение, функция;
endless;['endləs];бесконечный, беспредельный;
handful;['hæn(d)ful];пригоршня, горсть, горстка;
plentiful;['plentɪf(ə)l];изобилующий, изобильный;
breathless;['breθləs];запыхавшийся, задыхающийся;
solution;[sə'luːʃ(ə)n];решение, разрешение;
stillness;['stɪlnəs];неподвижность, спокойствие;
cellar;['selə];подвал, погреб;
Lesson 21
officer;['ɔfɪsə];чиновник, должностное лицо;
power;['pauə];сила, мощь, могущество;
corner;['kɔːnə];угол, уголок, перекрёсток;
regular;['regjələ];правильный, нормальный;
master;['mɑːstə];хозяин, владелец, господин;
director;[dɪ'rektə];директор;
hunger;['hʌŋgə];голод, голодание, недоедание;
finger;['fɪŋgə];палец, остров, полуостров;
horror;['hɔrə];ужас, страх, боязнь, опасение;
calendar;['kæləndə];календарь, летосчисление;
motor;['məutə];двигатель, мотор, автомашина;
labor;['leɪbə];труд, работа, задание;
danger;['deɪnʤə];опасность, угроза, риск;
single;['sɪŋgl];один, единственный, одиночный;
Lesson 22
jungle;['ʤʌŋgl];густые заросли, чащоба;
usual;['juːʒ(ə)l];обыкновенный, обычный, то;
handle;['hændl];рукоять, рукоятка, черенок;
table;['teɪbl];стол, пища, еда, кухня;
personal;['pɜːs(ə)n(ə)l];персональный, личный, близкий;
jingle;['ʤɪŋgl];звон, звяканье, побрякивание;
dial;['daɪəl];циферблат, круговая шкала;
actual;['ækʧuəl];фактический, реальный;
candle;['kændl];свеча, международная свеча;
trouble;['trʌbl];беспокойство, волнение;
hospital;['hɔspɪt(ə)l];больница, клиника, госпиталь;
equal;['iːkwəl];равный, одинаковый, идентичный;
national;['næʃ(ə)n(ə)l];народный, национальный;
several;['sev(ə)r(ə)l];некоторые, несколько, другой;
example;[ɪg'zɑːmpl];пример, иллюстрация;
possible;['pɔsəbl];вероятный, возможный, сносный;
bottle;['bɔtl];бутылка, бутыль, флакон, колба;
button;['bʌtn];пуговица, кнопка, то;
Lesson 23
kitchen;['kɪʧɪn];кухня, стол, пища, приправа;
burden;['bɜːdn];ноша, груз, тяжесть, бремя;
horizon;[hə'raɪz(ə)n];горизонт, кругозор, диапазон;
orphan;['ɔːf(ə)n];сирота, человек;
sudden;['sʌd(ə)n];внезапный, неожиданный;
eleven;[ɪ'lev(ə)n];одиннадцать;
season;['siːz(ə)n];время года, сезон, время, пора;
human;['hjuːmən];людской, человеческий;
slogan;['sləugən];лозунг, призыв, девиз, слоган;
golden;['gəuld(ə)n];золотистый, золотой;
reason;['riːz(ə)n];причина, повод, основание;
oven;['ʌv(ə)n];печь, духовка;
pollen;['pɔlən];пыльца, опылять;
canyon;['kænjən];каньон, глубокое ущелье;
practicing;['præktɪsɪŋ];практикующий;
Lesson 24
stepped;[stept];уступчатый, ступенчатый;
injured;['ɪnʤəd];обиженный, оскорблённый;
controlled;[kənˈtrould];управляемый, контролируемый;
rewarding;[rɪ'wɔːdɪŋ];стоящий, полезный;
determined;[dɪ'tɜːmɪnd];решительный, твёрдый;
divided;[dɪ'vaɪdɪd];разделённый, разобщённый;
belonged;[bɪ'lɔŋ];belong: принадлежать;
hugged;[hʌgd];прош. вр. от hug;
closing;['kləuzɪŋ];концовка;
entered;['entə(r)d];вписанный, внесённый;
reaching;[riːʧɪŋ];вытягивающий;
allowing;[ə'lauɪŋ];позволяющий;
argued;;аргументированный, обсуждённый;
reading;['riːdɪŋ];чтение, чтиво, чтение вслух;
unfolding;[ʌnˈfəuldɪŋ];развёртывание, разворачивание;
speaking;['spiːkɪŋ];беседа, разговор, лекция, речь;
permitting;[pəˈmɪtɪŋ];допускающий, позволяющий;
thumb;[θʌm];большой палец;
Lesson 25
doubt;[daut];сомневаться, быть неуверенным;
hasten;['heɪs(ə)n];спешить, торопиться;
crumbs;[krʌm];crumb: крошка, кроха, толика еды;
glisten;['glɪs(ə)n];искриться, сиять, блестеть;
soften;['sɔf(ə)n];смягчать, облегчать;
tomb;[tuːm];могила, надгробие;
numb;[nʌm];окоченелый, окоченевший;
column;['kɔləm];колонна, поддержка, столб(ик);
answer;['ɑːn(t)sə];отвечать, откликаться;
rhyme;[raɪm];рифма;
honest;['ɔnɪst];честный, настоящий;
fasten;['fɑːs(ə)n];прикреплять, привязывать;
climbed;[klaɪm];climb: взбираться, влезать;
comb;[kəum];гребень, расчёска, скребница;
often;['ɔf(t)(ə)n];часто, много раз;
lamb;[læm];ягнёнок, барашек, овечка;
she'd;[ʃid],[ʃiːd]; сокр. от shi had, shi would;
Lesson 26
you'd;[juːd];сокр. от you had, you would;
weren't;[wɜːnt];сокр. от were not;
we'd;[wiːd];сокр. от we had, we would;
hadn't;['hædnt];сокр. от had not;
they'd;[ðeɪd];сокр. от they had;
shouldn't;[ʃæl];сокр. от they would;
we've;[wiːv];сокр. от we have;
you've;[juːv];сокр. от you have;
plane;[pleɪn];плоскость, плоская поверхность, проекция;
Lesson 27
berry;['berɪ];ягода, мясистый плод, икринка;
plain;[pleɪn];очевидный, явный, ясный;
piece;[piːs];кусок, осколок, обломок;
peace;[piːs];мир, мирный договор;
peddle;['pedl];торговать вразнос;
pedal;['ped(ə)l];педаль, ножной рычаг, нога;
stake;[steɪk];столб, кол, стойка;
steak;[steɪk];кусок мяса рыбы, бифштекс;
bury;['berɪ];хоронить, предавать земле;
members;['membə];member: член, участник, партнёр;
Lesson 28
problem;['prɔbləm];проблема, вопрос, задача;
shelter;['ʃeltə];приют, кров, пристанище;
dinner;['dɪnə];обед;
hidden;['hɪd(ə)n];hide: прятаться, скрываться, прятать;
servant;['sɜːv(ə)nt];слуга, служанка, прислуга;
tractor;['træktə];трактор, тягач;
publish;['pʌblɪʃ];придавать огласке, оглашать;
captive;['kæptɪv];взятый в плен, пленник;
pattern;['pæt(ə)n];образец, модель, пример;
stubborn;['stʌbən];упрямый, непреклонный;
object;['ɔbʤɪkt];предмет, вещь, объект, цель;
cotton;['kɔt(ə)n];хлопок, хлопчатник;
logger;['lɔgə];лесоруб, дровосек;
suppose;[sə'pəuz];полагать, думать, предполагать;
shallow;['ʃæləu];мелкий, мелководный;
except;[ɪk'sept];исключать, изымать;
cedar;['siːdə];кедр;
Lesson 29
major;['meɪʤə];более важный, значительный;
moment;['məumənt];миг, минута, момент, мгновение;
ruler;['ruːlə];властелин, правитель, линейка;
spiders;['spaɪdə];spider: паук, таган;
nature;['neɪʧə];природа, сущность;
humor;['hjuːmə];юмор, что-л. смешное, забавное;
legal;['liːg(ə)l];правовой, юридический;
motive;['məutɪv];мотив, побуждение, повод;
rivals;['raɪv(ə)l];rival: соперник, конкурент, противник;
bison;['baɪsn];зубр американский, бизон, зубр;
solar;['səulə];солнечная энергия, солнечный;
native;['neɪtɪv];родной, исконно присущий;
silent;['saɪlənt];безмолвный, молчащий, немой;
pilot;['paɪlət];лётчик, пилот, штурман, лоцман;
super;['s(j)uːpə];супер, суперинтендант полиции;
raven;['reɪv(ə)n];ворон, прорицатель дурного;
virus;['vaɪ(ə)rəs];вирус, вирусное заболевание;
discover;[dɪ'skʌvə];обнаруживать, находить;
Lesson 30
beginning;[bɪ'gɪnɪŋ];начало, начальный этап;
difficult;['dɪfɪk(ə)lt];трудный, сложный, тяжёлый;
probably;['prɔbəblɪ];вероятно, наверное;
description;[dɪ'skrɪpʃ(ə)n];составление описания, описание;
engineer;[ˌenʤɪ'nɪə];инженер, конструктор, механик;
important;[ɪm'pɔːt(ə)nt];важный, значительный;
interest;['ɪnt(ə)rəst];интерес, заинтересованность;
becoming;[bɪ'kʌmɪŋ];подобающий, приличествующий;
government;['gʌv(ə)nmənt];правительство, форма правления;
excellent;['eks(ə)l(ə)nt];отличный, отменный;
dangerous;['deɪnʤ(ə)rəs];опасный, рискованный;
remember;[rɪ'membə];помнить, хранить в памяти;
imagine;[ɪ'mæʤɪn];воображать, представлять себе;
energy;['enəʤɪ];энергия, сила, интенсивность;
direction;[dɪ'rekʃ(ə)n];направление, область, сфера;
yet;[jet];ещё, всё ещё, пока что;
Lesson 31
brought;[brɔːt];bring: приносить, привозить;
yard;[jɑːd];ярд, брус, палка, рея;
done;[dʌn];сделанный, выполненный;
shoes;[ʃuː];shoe: туфля, полуботинок, подкова;
above;[ə'bʌv];наверху, вверху, выше, наверх;
number;['nʌmbə];число, сумма, цифра;
land;[lænd];земля, суша, почва, страна;
across;[ə'krɔs];поперёк, в ширину;
horse;[hɔːs];конь, лошадь, скаковая лошадь;
matter;['mætə];вещество, материал;
Lesson 32
large;[lɑːʤ];большой, крупный;
street;[striːt];улица;
state;[steɪt];состояние, положение, строение;
life;[laɪf];жизнь, существование;
even;['iːv(ə)n];плоский, ровный, гладкий;
cover;['kʌvə];крышка, колпак, колпачок;
window;['wɪndəu];окно, витрина;
few;[fjuː];мало, немногие, немного;
line;[laɪn];верёвка, шнур;
unless;[ən'les];если не, пока не, если только;
Lesson 33
weightless;['weɪtləs];невесомый;
reckless;['rekləs];необдуманный, безрассудный;
priceless;['praɪsləs];бесценный, неоценимый;
regardless;[rɪ'gɑːdləs];безотносительно к чему-либо;
restless;['restləs];беспокойный, неугомонный;
useless;['juːsləs];бесполезный, никуда не годный;
homeless;['həumləs];бездомный, бесприютный;
shapeless;['ʃeɪpləs];бесформенный, некрасивый;
speechless;['spiːʧləs];немой, онемевший, безмолвный;
valueless;['væljuːləs];ничего не стоящий;
hopeless;['həupləs];безнадёжный, неисправимый;
harmless;['hɑːmləs];безвредный, безобидный;
greyhound;['greɪhaund];борзая;
Lesson 34
spellbound;['spelbaund];очарованный, заворожённый;
compound;['kɔmpaund];строение, структура;
surround;[sə'raund];окружать, обступать;
campground;['kæmpgraund];палаточный лагерь;
sound;[saund];звук, шум, громкость;
mound;[maund];насыпь, холм, курган;
snowbound;['snəubaund];заснеженный, занесённый снегом;
wound;[wuːnd];рана, ранение, обида;
bloodhound;['blʌdhaund];бладхаунд, ищейка;
hound;[haund];охотничья собака, гончая;
underground;['ʌndəgraund];метрополитен;
displayed;[dɪs'pleɪ];показ, демонстрация, выставка;
Lesson 35
district;['dɪstrɪkt];район, округ, область;
dismayed;[dɪs'meɪd];потрясённый, испуганный;
dispute;[dɪs'pjuːt];диспут, дискуссия, дебаты;
