Lesson 1
suggest;[sə'ʤest];предлагать, советовать;
general;['ʤen(ə)r(ə)l];общий, родовой;
character;['kærəktə];характер, темперамент, нрав;
subject;['sʌbʤekt];тема, предмет разговора;
occur;[ə'kɜː(r)];происходить, случаться;
Georgia;['ʤɔːʤ(ɪ)ə];Джорджия, Грузия;
lodge;[lɔʤ];домик, сторожка, приют;
ridge;[rɪʤ];гребень горы, горный хребет;
chord;[kɔːd];струна, аккорд, хорда;
mechanic;[mɪ'kænɪk];механик, ремесленник;
ledge;[leʤ];планка, рейка, полочка, выступ;
horseback;['hɔːsbæk];спина лошади, гребень, гряда;
Lesson 5
rattlesnake;['rætlsneɪk];гремучая змея;
nearby;[ˌnɪə'baɪ];близлежащий, соседний;
kickstand;['kɪkstænd];подножка;
earthquake;['ɜːθkweɪk];землетрясение, катастрофа;
housework;['hauswɜːk];работа по дому;
thumbtack;['θʌmtæk];чертёжная кнопка;
haircut;['heəkʌt];стрижка, причёска;
hideout;['haɪdaut];укрытие, прибежище, пристанище;
clothesline;['kləuðzlaɪn];верёвка для развешивания белья;
handwriting;['hændˌraɪtɪŋ];почерк;
volleyball;['vɔlɪbɔːl];волейбол, волейбольный мяч;
blueprint;['bluːprɪnt];синька, копия;
textbook;['tekstbuk];руководство, учебник;
banjo;['bænʤəu];банджо;
Lesson 6
lives;[laɪvz];мн. ч. от life;
handkerchiefs;['hæŋkəʧiːfz];мн. ч. от handkerchief;
mosquitoes;[mɔs'kiːtəuz];мн. ч. от mosquito;
heroes;['hɪərəuz];мн. ч. от hero;
hoofs;[huːfz];мн. ч. от hoof;
vetoes;['viːtəuz];мн. ч. от veto;
studios;['stjuːdɪəuz];мн. ч. от studio;
leaves;[liːvz];листва;
tornadoes;[tɔː'neɪdəuz];мн. ч. от tornado;
videos;['vɪdɪəuz];мн. ч. от video;
potatoes;[pə'teɪtəuz];мн. ч. от potato;
echoes;['ekəuz];мн. ч. от echo;
radios;['reɪdɪəuz];мн. ч. от radio;
tomatoes;[tə'mɑːtəuz];мн. ч. от tomato;
challenge;['ʧælɪnʤ];вызов, сложная задача;
Lesson 7
among;[ə'mʌŋ];между, посреди, среди;
without;[wɪ'ðaut];без, в отсутствие, не;
chipmunk;['ʧɪpmʌŋk];бурундук;
strong;[strɔŋ];сильный;
everything;['evrɪθɪŋ];всё;
trunk;[trʌŋk];ствол (дерева), туловище, тело;
nothing;['nʌθɪŋ];ничего, ничто;
blank;[blæŋk];пустой, чистый, неисписанный;
shrink;[ʃrɪŋk];уменьшать, сокращать;
strengthen;['streŋθ(ə)n];усиливаться, укрепляться;
sting;[stɪŋ];жало, жгучий волосок, укус;
hanger;['hæŋə];палач, верёвка на виселице;
clothing;['kləuðɪŋ];одежда, платье, обмундирование;
mumble;['mʌmbl];бормотание;
Lesson 8
cucumber;['kjuːkʌmbə];огурец;
lumber;['lʌmbə];ненужные громоздкие вещи;
crumble;['krʌmbl];раскрошить, растолочь;
thumbnail;['θʌmneɪl];ноготь большого пальца;
tumble;['tʌmbl];падать, спотыкаться, ронять;
bumble;['bʌmbl];путаться, ошибаться;
rhumba;[ˈrʌmbə];румба;
plumber;['plʌmə(r)];водопроводчик, паяльщик;
slumber;['slʌmbə(r)];сон, дремота, сонное состояние;
crumb;[krʌm];крошка, кроха, толика еды;
jumble;['ʤʌmbl];круглая сдобная пышка;
rumble;['rʌmbl];громыхать, грохотать, греметь;
umbrella;[ʌm'brelə];зонт, зонтик, прикрытие;
dumb;[dʌm];немой, бессловесный;
grumble;['grʌmbl];ворчать, жаловаться, рычать;
stumble;['stʌmbl];спотыкаться, оступаться;
mourn;[mɔːn];скорбеть, оплакивать, горевать;
Lesson 9
detour;['diːtuə];окольный путь, обход, объезд;
journey;['ʤɜːnɪ];путешествие, поездка, путь;
devour;[dɪ'vauə];жадно есть, глотать, давясь;
adjourn;[ə'ʤɜːn];откладывать, отсрочивать;
journal;['ʤɜːn(ə)l];дневник, личный журнал;
tournament;['tuənəmənt];турнир, соревнование;
harbour;['hɑːbə];гавань, порт, прибежище;
downpour;['daunpɔː];ливень;
journalist;['ʤɜːn(ə)lɪst];журналист, корреспондент;
journeys;['ʤɜːnɪz];путешествия;
mourning;['mɔːnɪŋ];горесть, грусть, печаль;
previous;['priːvɪəs];предыдущий, предшествующий;
Lesson 10
mysterious;[mɪ'stɪərɪəs];таинственный, загадочный;
furiously;['fjuərɪəslɪ];бешено, яростно, неистово;
cautious;['kɔːʃəs];осторожный, осмотрительный;
various;['veərɪəs];различный, разный;
studious;['stjuːdɪəs];занятый наукой, любящий науку;
anxiously;['æŋ(k)ʃəslɪ];тревожно, с волнением;
delicious;[dɪ'lɪʃəs];восхитительный, прелестный;
gracious;['greɪʃəs];милосердный, милостивый;
obvious;['ɔbvɪəs];очевидный, заметный;
hilarious;[hɪ'leərɪəs];весёлый, шумный, оживлённый;
religious;[rɪ'lɪʤəs];религиозный, духовный;
serious;['sɪərɪəs];серьёзный, глубокомысленный;
furious;['fjuərɪəs];взбешённый, неистовый;
curious;['kjuərɪəs];любопытный, любознательный;
helicopter;['helɪkɔptə];вертолёт, геликоптер;
Lesson 11
optic;['ɔptɪk];зрительный, оптический;
optimistic;[ˌɔptɪ'mɪstɪk];оптимистичный;
adopt;[ə'dɔpt];усыновлять, удочерять;
optimism;['ɔptɪmɪz(ə)m];оптимизм;
dollop;['dɔləp];ложка, небольшое количество;
adopted;[æ'dɔptɪd];приёмный, усыновлённый;
optimist;['ɔptɪmɪst];оптимист;
microscopic;[ˌmaɪkrə'skɔpɪk];микроскопический;
hopscotch;['hɔpskɔʧ];классики (детская игра);
option;['ɔpʃ(ə)n];выбор, альтернатива, вариант;
optician;[ɔp'tɪʃ(ə)n];специалист по коррекции зрения;
discomfort;[dɪs'kʌmfət];неудобство;
Lesson 12
distant;['dɪst(ə)nt];дальний, далёкий, отдалённый;
disorder;[dɪ'sɔːdə];беспорядок;
distract;[dɪ'strækt];отвлекать, уводить в сторону;
disrupt;[dɪs'rʌpt];разорванный, разрушенный;
disheveled;[dɪ'ʃev(ə)ld];взъерошенный, растрепанный;
discouragement;[dɪ'skʌrɪʤmənt];подавленность, упадок духа;
discontinue;[ˌdɪskən'tɪnjuː];прекращать, останавливать;
disrobe;[dɪs'rəub];раздевать, отнимать;
disgust;[dɪs'gʌst];отвращение, омерзение;
disruptive;[dɪs'rʌptɪv];разрушительный;
distribute;[dɪ'strɪbjuːt];распределять, раздавать;
disappear;[ˌdɪsə'pɪə];исчезать, пропадать;
dissolve;[dɪ'zɔlv];растворять, растворяться;
disappoint;[ˌdɪsə'pɔɪnt];разочаровывать, обманывать;
discovery;[dɪ'skʌv(ə)rɪ];открытие, обнаружение, находка;
royalty;['rɔɪəltɪ];королевская власть;
Lesson 13
buoyant;['bɔɪənt];плавучий, бодрый, жизнерадостный;
boysenberry;['bɔɪzənˌberɪ];бойзенова ягода;
boycott;['bɔɪkɔt];бойкот, бойкотировать;
enjoyment;[ɪn'ʤɔɪmənt];наслаждение, удовольствие;
employ;[ɪm'plɔɪ];держать на службе;
oyster;['ɔɪstə];устрица;
destroy;[dɪ'strɔɪ];разрушать, рушить, сносить;
annoying;[ə'nɔɪɪŋ];раздражающий, досадный;
soybean;['sɔɪbiːn];соя, соевый боб;
loyalty;['lɔɪəltɪ];верность, преданность;
disloyal;[dɪs'lɔɪ(ə)l];нелояльный, неблагожелательный;
boyhood;['bɔɪhud];отрочество;
annoy;[ə'nɔɪ];раздражать, сердить, злить;
cliffs;[klɪfs];отвесные скалы, утесы;
Lesson 14
sniffing;['snɪfɪŋ];фырканье, храпение;
difference;['dɪf(ə)r(ə)n(t)s];разница, несходство, отличие;
sniffle;[snɪfl];сопеть, хлюпать носом;
cliff;[klɪf];отвесная скала, утес, холм;
stiff;[stɪf];жёсткий, тугой, негибкий;
differed;['dɪfərd];отличающийся;
sniff;[snɪf];вдох, втягивание носом;
tariff;['tærɪf];тариф, пошлина, расценка;
differently;['dɪf(ə)r(ə)ntlɪ];по-другому, иначе, различно;
sheriff;['ʃerɪf];шериф;
differ;['dɪfə];отличаться, различаться;
whiffle;['(h)wɪfl];дуть, поддувать, развевать;
unceasing;[ʌn'siːsɪŋ];безостановочный, беспрерывный;
Lesson 15
unbroken;[ʌn'brəuk(ə)n];неразбитый, целый, непрерывный;
unchanged;[ʌn'ʧeɪnʤd];неизменившийся;
untouched;[ʌn'tʌʧt];нетронутый, индифферентный;
unrequited;[ˌʌnrɪ'kwaɪtɪd];неоплаченный;
unhappiness;[ʌn'hæpɪnəs];несчастье;
unbalanced;[ʌn'bælən(t)st];неуравновешенный;
unfortunately;[ʌn'fɔːʧ(ə)nətlɪ];к несчастью, к сожалению;
unlimited;[ʌn'lɪmɪtɪd];неограниченный, абсолютный;
unfinished;[ʌn'fɪnɪʃt];незавершённый, незакончённый;
unexpected;[ˌʌnɪk'spektɪd];неожиданный, непредвиденный;
unbearable;[ʌn'beərəbl];невыносимый, нетерпимый;
unbelievable;[ˌʌnbɪ'liːvəbl];невероятный, неправдоподобный;
unnumbered;[ʌn'nʌmbəd];ненумерованный;
undeniable;[ˌʌndɪ'naɪəbl];неоспоримый, несомненный;
midnight;['mɪdnaɪt];полночь, непроглядная тьма;
Lesson 16
midland;['mɪdlənd];внутренний, центральный, удалённый от моря ;
midterm;['mɪdtɜːm];середина семестра;
midwest;[ˌmɪd'west];= Middle West: Средний Запад;
midafternoon;[ˈmɪdˌæftərˈnun];вторая половина дня;
midstream;[ˌmɪd'striːm];середина реки, потока;
midyear;['mɪdjɪə];середина года;
midweek;[ˌmɪd'wiːk];середина недели, среда;
midsummer;[ˌmɪd'sʌmə];середина лета;
midway;[ˌmɪd'weɪ];аллея аттракционов на ярмарке;
midday;[ˌmɪd'deɪ];полдень, полуденный;
midair;[ˌmɪd'eə];происходящий в воздухе;
midwinter;[ˌmɪd'wɪntə];середина зимы;
prerecorded;[ˌpriːrɪ'kɔːdɪd];записанный заранее;
Lesson 17
preventable;[prɪ'ventəbl];предотвратимый;
prevention;[prɪ'ven(t)ʃ(ə)n];предотвращение, предохранение;
preferring;[prɪ'fɜː];предпочитаемый;
prescribe;[prɪ'skraɪb];предписывать, устанавливать;
precede;[prɪ'siːd];предшествовать;
predicament;[prɪ'dɪkəmənt];затруднительное положение;
prescription;[prɪs'krɪpʃ(ə)n];предписывание, директива;
predictable;[prɪ'dɪktəbl];предсказуемый;
prescription;[prɪs'krɪpʃ(ə)n];предписывание, директива;
prefix;['priːfɪks];префикс, приставка;
prehistoric;[ˌpriːhɪ'stɔrɪk];доисторический, древний;
preclude;[prɪ'kluːd];предотвращать, устранять;
precaution;[prɪ'kɔːʃ(ə)n];предосторожность;
prediction;[prɪ'dɪkʃ(ə)n];предсказание, прогноз;
anxious;['æŋ(k)ʃəs];озабоченный, беспокоящийся;
Lesson 18
cautiously;['kɔːʃəslɪ];внимательно, осторожно;
rebellious;[rɪ'belɪəs];мятежный, повстанческий;
vivacious;[vɪ'veɪʃəs];живой, оживлённый;
contagious;[kən'teɪʤəs];заразный, инфекционный;
devious;['diːvɪəs];удалённый, отдалённый;
pious;['paɪəs];набожный, благочестивый;
victorious;[vɪk'tɔːrɪəs];победоносный, победный;
tedious;['tiːdɪəs];нудный, скучный, утомительный;
envious;['envɪəs];завистливый, завидующий;
imperious;[ɪm'pɪərɪəs];повелительный, властный;
independence;[ˌɪndɪ'pendən(t)s];автономия, независимость;
Lesson 19
residence;['rezɪd(ə)n(t)s];местожительство, жилье;
conference;['kɔnf(ə)r(ə)n(t)s];собрание, конференция, встреча;
existence;[ɪg'zɪst(ə)n(t)s];жизнь, бытие, существование;
confidence;['kɔnfɪd(ə)n(t)s];вера, доверие, уверенность;
obedience;[ə'biːdɪən(t)s];повиновение, подчинение;
reverence;['rəv(ə)r(ə)n(t)s];почтение, почтительность;
consequence;['kɔn(t)sɪkwən(t)s];следствие, результат, вывод, заключение;
excellence;['eks(ə)l(ə)n(t)s];непревзойдённое мастерство, совершенство;
occurrence;[ə'kʌr(ə)n(t)s];инцидент, происшествие, случай;
correspondence;[ˌkɔrɪ'spɔndən(t)s];соответствие, соотношение, переписка, письма;
coincidence;[kəu'ɪn(t)sɪd(ə)n(t)s];точное совпадение;
affluence;['æfluən(t)s];достаток, богатство, изобилие;
experienced;[ɪk'spɪərɪən(t)st];знающий, опытный;
acquaintance;[ə'kweɪnt(ə)n(t)s];знакомство, знакомый, знакомая;
Lesson 20
assistance;[ə'sɪst(ə)n(t)s];помощь, поддержка, содействие;
maintenance;['meɪnt(ə)nən(t)s];поддержание, сохранение;
guidance;['gaɪd(ə)n(t)s];руководство, заведование;
ignorance;['ɪgn(ə)r(ə)n(t)s];невежественность, невежество;
appliance;[ə'plaɪən(t)s];аппарат, прибор;
nuisance;['njuːs(ə)n(t)s];досада, неприятность;
acceptance;[ək'septən(t)s];получение, приём, принятие;
performance;[pə'fɔːmən(t)s];исполнение, выполнение;
conveyance;[kən'veɪən(t)s];перевозка, транспортировка;
importance;[ɪm'pɔːt(ə)n(t)s];важность, значимость;
entrance;['entrən(t)s];вход, входная дверь, въезд;
adorable;[ə'dɔːrəbl];обожаемый, милый;
Lesson 21
acceptable;[ək'septəbl];приемлемый, допустимый;
honorable;['hɔn(ə)rəbl];благородный, великодушный;
valuable;['væljuəbl];ценный, дорогой, дорогостоящий;
respectable;[rɪ'spektəbl];почтенный, респектабельный;
stable;['steɪbl];стойкий, неизменный, конюшня;
vegetable;['veʤ(ə)təbl];овощ, растение;
reliable;[rɪ'laɪəbl];надёжный, верный, испытанный;
inevitable;[ɪ'nevɪtəbl];неизбежный, неминуемый;
charitable;['ʧærɪtəbl];благотворительный;
renewable;[rɪ'njuːəbl];восстановимый, возобновляемый;
comfortable;['kʌmf(ə)təbl];уютный, удобный, расслабленный;
flexible;['fleksəbl];гибкий, гнущийся, мягкий;
Lesson 22
eligible;['elɪʤəbl];имеющий право, подходящий;
visible;['vɪzəbl];видимый, видный;
responsible;[rɪ'spɔn(t)səbl];ответственный;
impossible;[ɪm'pɔsəbl];невозможный, невыполнимый;
inflexible;[ɪn'fleksəbl];негибкий, негнущийся, жёсткий;
incredible;[ɪn'kredɪbl];маловероятный, невероятный;
convertible;[kən'vɜːtəbl];трансформируемый, превращаемый;
sensible;['sen(t)sɪbl];благоразумный, здравомыслящий;
terrible;['terəbl];внушающий страх, ужас;
accessible;[ək'sesəbl];доступный, достижимый;
horrible;['hɔrəbl];жуткий, страшный, ужасный;
ignorant;['ɪgn(ə)r(ə)nt];невежественный, необразованный;
Lesson 23
pageant;['pæʤənt];пышное зрелище, спектакль;
elegant;['elɪg(ə)nt];изысканный, элегантный;
infant;['ɪnfənt];младенец, ребёнок;
elephant;['elɪfənt];слон;
confidant;['kɔnfɪdænt];наперсник;
vacant;['veɪk(ə)nt];незаполненный, пустой;
constant;['kɔn(t)stənt];постоянная, константа;
instant;['ɪn(t)stənt];мгновение, миг, немедленный;
assistant;[ə'sɪst(ə)nt];помощник, ассистент, сотрудник;
merchant;['mɜːʧ(ə)nt];купец, торговец, лицо;
brilliant;['brɪlɪənt];бриллиант;
intelligent;[ɪn'telɪʤ(ə)nt];умный, сообразительный;
Lesson 24
spent;[spent];использованный, истощённый;
agent;['eɪʤ(ə)nt];агент, представитель;
decent;['diːs(ə)nt];подходящий, пристойный, приличный;
lucent;['luːs(ə)nt];светящийся, яркий, прозрачный;
talent;['tælənt];дар, дарование, талант;
student;['st(j)uːd(ə)nt];студент, студентка, учащийся;
parent;['peər(ə)nt];один из родителей;
accent;['æks(ə)nt];акцент, произношение;
prevent;[prɪ'vent];предотвращать, предупреждать;
opponent;[ə'pəunənt];конкурент, соперник, противник;
accomplishment;[ə'kɔmplɪʃmənt];выполнение, исполнение;
apparent;[ə'pær(ə)nt];видимый, видный, очевидный;
basement;['beɪsmənt];подвал, основание, фундамент;
Lesson 25
entertainment;[ˌentə'teɪnmənt];увеселительное мероприятие;
apartment;[ə'pɑːtmənt];комната, меблированные комнаты;
assignment;[ə'saɪnmənt];назначение, ассигнование;
equipment;[ɪ'kwɪpmənt];оборудование, оснащение;
environment;[ɪn'vaɪər(ə)nmənt];окружение, окружающая среда;
encouragement;[ɪn'kʌrɪʤmənt];ободрение, поощрение;
advertisement;[əd'vɜːtɪsmənt];объявление, реклама, анонс;
astonishment;[ə'stɔnɪʃmənt];изумление, удивление;
monument;['mɔnjumənt];памятник, монумент;
amusement;[ə'mjuːzmənt];развлечения, увеселения;
compliment;['kɔmplɪmənt];любезность, комплимент;
department;[dɪ'pɑːtmənt];отдел, отделение, управление;
insurance;[ɪn'ʃuər(ə)n(t)s];страхование, страховой полис;
Lesson 26
ambulance;['æmbjələn(t)s];чкоря помощь, полевой госпиталь;
appearance;[ə'pɪər(ə)n(t)s];появление, внешний вид;
substance;['sʌbst(ə)n(t)s];вещество, содержание, суть;
attendance;[ə'tendən(t)s];присутствие, посещение;
fragrance;['freɪgrən(t)s];аромат, благоухание;
alliance;[ə'laɪən(t)s];союз, альянс, брачный союз;
assurance;[ə'ʃuər(ə)n(t)s];гарантия, заверение, обещание;
admittance;[əd'mɪt(ə)n(t)s];вход, доступ, подход;
disappearance;[ˌdɪsə'pɪər(ə)n(t)s];исчезновение;
tolerance;['tɔl(ə)r(ə)n(t)s];терпимость, толерантность;
allegiance;[ə'liːʤ(ə)n(t)s];лояльность, верность;
repugnance;[rɪ'pʌgnən(t)s];отвращение, антипатия;
thoughtless;['θɔːtləs];безрассудный, беспечный;
Lesson 27
swordless;['wɜːdləs];не имеющий меча;
sleeveless;['sliːvləs];не имеющий рукавов;
defenseless;[dɪ'fen(t)sləs];незащищённый, беззащитный;
brimless;['rɪmləs];не имеющий обода;
borderless;['bɔːdələs];не имеющий границ, бесконечный;
penniless;['penɪləs];без гроша, безденежный;
blameless;['bleɪmləs];безукоризненный, безупречный;
listless;['lɪstləs];апатичный, бездеятельный;
powerless;['pauələs];бессильный, беспомощный;
senseless;['sen(t)sləs];бесчувственный;
fearless;['fɪələs];бесстрашный, неустрашимый;
fearfully;['fɪəf(ə)lɪ];вселяюще страх;
Lesson 28
faithfully;['feɪθf(ə)lɪ];верно, точно, честно;
carefully;['keəf(ə)lɪ];тщательно, внимательно;
scornfully;['skɔːnf(ə)lɪ];презрительно, пренебрежительно;
tastefully;['teɪstf((ə)lɪ];со вкусом;
ruefully;['ruːf(ə)lɪ];печально, уныло, с сожалением;
gracefully;['greɪsf(ə)lɪ];грациозно, изящно, элегантно;
thoughtfully;[θɔːtf(ə)lɪ];задумчиво, созерцательно;
wistfully;['wɪstf(ə)lɪ];тоскуя, страстно желая;
peacefully;['piːsf(ə)lɪ];мирно, миролюбиво, тихо;
awfully;['ɔːf(ə)lɪ];ужасно, ужасающе;
dolefully;['dəulf(ə)lɪ];печально, уныло;
finance;['faɪnæn(t)s];финансы, доходы, деньги;
Lesson 29
extravagance;[ɪk'strævəgən(t)s];нелепость, сумасбродство;
resistance;[rɪ'zɪst(ə)n(t)s];сопротивление, отпор;
resemblance;[rɪ'zemblən(t)s];похожесть, сходство, схожесть;
vengeance;['venʤ(ə)n(t)s];месть, мщение;
imbalance;[ɪm'bælən(t)s];неустойчивость, дисбаланс;
semblance;['semblən(t)s];подобие, сходство, внешность;
remembrance;[rɪ'membr(ə)n(t)s];воспоминание, память;
remittance;[rɪ'mɪt(ə)n(t)s];денежный перевод, пересылка;
grievance;['griːv(ə)n(t)s];обида, недовольство, жалоба;
clearance;['klɪər(ə)n(t)s];расчистка, очистка территории;
defiance;[dɪ'faɪən(t)s];вызов, пренебрежение;
mistaken;[mɪ'steɪk(ə)n];неправильный, ошибочный;
Lesson 30
misunderstood;[ˌmɪsʌndə'stud];недооценённый, непонятый;
misplaced;[mɪs'pleɪst];несоответствующий, неуместный;
mischievous;['mɪsʧɪvəs];озорной, непослушный, вредный;
miscue;[ˌmɪs'kjuː];неудачный удар кием по шару;
misbehavior;[ˌmɪs.bɪˈheɪvjə(r)];аномальное поведение;
misconduct;[mɪs'kɔndʌkt];плохое поведение;
mispronounce;[ˌmɪsprə'naun(t)s];неправильно произносить;
misspell;[mɪs'spel];делать орфографические ошибки;
misprint;['mɪsprɪnt];опечатка;
misfortune;[mɪs'fɔːʧuːn];беда, неудача, несчастье;
misjudge;[mɪs'ʤʌʤ];составить себе неправильное;
mischief;['mɪsʧɪf];вред, повреждение, убытки;
misunderstand;[ˌmɪsʌndə'stænd];неправильно понять;
probable;['prɔbəbl];вероятный, возможный;
Lesson 31
suitable;['s(j)uːtəbl];годный, подходящий, пригодный;
miserable;['mɪz(ə)rəbl];жалкий, несчастный, бедный;
regrettable;[rɪ'gretəbl];прискорбный;
amicable;['æmɪkəbl];дружелюбный, дружеский;
dependable;[dɪ'pendəbl];надёжный;
debatable;[dɪ'beɪtəbl];дискуссионный;
expendable;[ɪk'spendəbl];потребляемый, расходуемый;
equitable;['ekwɪtəbl];беспристрастный;
advisable;[əd'vaɪzəbl];достойный быть рекомендованным;
huggable;[ˈhʌg.ə.bl];то, что можно обнять;
agreeable;[ə'grɪəbl];приятный, милый;
portable;['pɔːtəbl];портативный, переносный;
variable;['veərɪəbl];изменчивый, изменяющийся;
favorable;['feɪv(ə)rəbl];благоприятный;
remarkable;[rɪ'mɑːkəbl];замечательный, выдающийся;
pretended;[prɪ'tendɪd];лицемерный, поддельный;
Lesson 32
previewing;[priːvjuːɪŋ];предварительный просмотр;
preliminary;[prɪ'lɪmɪn(ə)rɪ];предварительный;
preschooler;['priːˌskuːlə];дошкольник;
pretest;[ˌpriːˈtest];предтест, предварительный тест;
presented;[prɪˈzentɪd]TODO;представленный;
prescribed;[prɪ'skraɪbd];установленный, принятый;
presume;[prɪ'zjuːm];предполагать, полагать;
predicate;['predɪkət];предикат, сказуемое;
prepares;[prɪ'peə];prepare: готовить, подготавливать;
preferred;[prɪ'fɜːd];предпочтительный;
prefabricated;[ˌpriː'fæbrɪkeɪtɪd];сборный, искусственный;
unemployment;[ˌʌnɪm'plɔɪmənt];безработица;
Lesson 33
flamboyant;[flæm'bɔɪənt];цветистый, яркий, напыщенный;
annoyance;[ə'nɔɪən(t)s];досада, раздражение;
destroyers;[dɪ'strɔɪə];destroyer: разрушитель;
convoy;['kɔnvɔɪ];сопровождение, эскорт, свита;
unemployed;[ˌʌnɪm'plɔɪd];безработный, незанятый;
buoyancy;['bɔɪən(t)sɪ];плавучесть;
joyous;['ʤɔɪəs];joyful: радостный, счастливый;
soybeans;[TODO];soybean: соя, соевый боб;
enjoyed;[ɪn'ʤɔɪ];enjoy: любить, получать удовольствие;
employees;[TODO];employee: служащий, работающий по найму;
enjoyable;[ɪn'ʤɔɪəbl];приятный;
gargoyle;['gɑːgɔɪl];горгулья;
dubious;['djuːbɪəs];вызывающий сомнения, опасения;
Lesson 34
obnoxious;[əb'nɔkʃəs];неприятный, несносный;
unconscious;[ʌn'kɔn(t)ʃəs];не осознающий, без сознания;
obviously;['ɔbvɪəslɪ];явно, заметно, ясно, очевидно;
luxurious;[lʌg'ʒu(ə)rɪəs];богатый, пышный, роскошный;
conscious;['kɔn(t)ʃəs];сознательный, осознанный;
glorious;['glɔːrɪəs];знаменитый, прославленный;
suspicious;[sə'spɪʃəs];подозрительный, недоверчивый;
precious;['preʃəs];драгоценный, большой ценности;
scrumptious;['skrʌmpʃəs];великолепный, восхитительнй;
spacious;['speɪʃəs];обширный, большой;
precocious;[prɪ'kəuʃəs];рано развившийся;
vicious;['vɪʃəs];порочный, злой, плохой, дурной;
infectious;[ɪn'fekʃəs];заразный, инфекционный;
suspiciously;[sə'spɪʃəslɪ];подозрительно, с подозрением;
seriousness;['sɪərɪəsnəs];серьёзность, значимость;
malicious;[mə'lɪʃəs];злобный, злой, злоумышленный;
successful;[sək'sesf(ə)l];благополучный, счастливый;
Lesson 35
colorful;['kʌləf(ə)l];красочный, яркий;
grateful;['greɪtf(ə)l];благодарный, признательный;
truthful;['truːθf(ə)l];правдивый, безошибочный;
unlawful;[ʌn'lɔːf(ə)l];незаконный, противозаконный;
sorrowful;['sɔrə(u)f(ə)l];несчастный, печальный;
faithful;['feɪθf(ə)l];верный, преданный, стойкий;
deceitful;[dɪ'siːtf(ə)l];неискренний, лживый;
cheerful;['ʧɪəf(ə)l];весёлый, радостный, живой;
resentful;[rɪ'zentf(ə)l];обиженный, возмущённый;
meaningful;['miːnɪŋf(ə)l];выразительный;
doubtful;['dautf(ə)l];сомневающийся, нерешительный;
distasteful;[dɪs'teɪstf(ə)l];противный, неприятный;
boastful;['bəustf(ə)l];хвастливый;
ornament;['ɔːnəmənt];украшение, орнамент;
Lesson 36
garment;['gɑːmənt];предмет одежды, одежда;
advancement;[əd'vɑːn(t)smənt];продвижение, улучшение;
experiment;[ɪk'sperɪmənt];опыт, эксперимент, проба;
pavement;['peɪvmənt];панель, тротуар, мостовая, пол;
requirement;[rɪ'kwaɪəmənt];требование;
excitement;[ɪk'saɪtmənt];возбуждение, волнение;
movement;['muːvmənt];движение, передвижение;
announcement;[ə'naun(t)smənt];объявление, сообщение;
ointment;['ɔɪntmənt];мазь, притирание;
